DATE,TENOR,OFFER,BID
1/31/2023,1 - Week,16.91,17.41
1/31/2023,2 - Week,16.96,17.46
1/31/2023,1 - Month,17.04,17.54
1/31/2023,3 - Month,17.62,17.87
1/31/2023,6 - Month,17.72,17.97
1/31/2023,9 - Month,17.76,18.26
1/31/2023,1 - Year,17.79,18.29
1/30/2023,1 - Week,16.88,17.38
1/30/2023,2 - Week,16.94,17.44
1/30/2023,1 - Month,17.05,17.55
1/30/2023,3 - Month,17.6,17.85
1/30/2023,6 - Month,17.7,17.95
1/30/2023,9 - Month,17.74,18.24
1/30/2023,1 - Year,17.77,18.27
1/27/2023,1 - Week,16.82,17.32
1/27/2023,2 - Week,16.89,17.39
1/27/2023,1 - Month,17.03,17.53
1/27/2023,3 - Month,17.63,17.88
1/27/2023,6 - Month,17.7,17.95
1/27/2023,9 - Month,17.74,18.24
1/27/2023,1 - Year,17.77,18.27
1/26/2023,1 - Week,16.89,17.39
1/26/2023,2 - Week,16.97,17.47
1/26/2023,1 - Month,17.07,17.57
1/26/2023,3 - Month,17.66,17.91
1/26/2023,6 - Month,17.69,17.94
1/26/2023,9 - Month,17.72,18.22
1/26/2023,1 - Year,17.74,18.24
1/25/2023,1 - Week,16.82,17.32
1/25/2023,2 - Week,16.93,17.43
1/25/2023,1 - Month,17.04,17.54
1/25/2023,3 - Month,17.51,17.76
1/25/2023,6 - Month,17.62,17.87
1/25/2023,9 - Month,17.64,18.14
1/25/2023,1 - Year,17.67,18.17
1/24/2023,1 - Week,16.87,17.37
1/24/2023,2 - Week,16.96,17.46
1/24/2023,1 - Month,17.09,17.59
1/24/2023,3 - Month,17.49,17.74
1/24/2023,6 - Month,17.57,17.82
1/24/2023,9 - Month,17.58,18.08
1/24/2023,1 - Year,17.62,18.12
1/23/2023,1 - Week,16.7,17.2
1/23/2023,2 - Week,16.81,17.31
1/23/2023,1 - Month,17.09,17.59
1/23/2023,3 - Month,17.51,17.76
1/23/2023,6 - Month,17.55,17.8
1/23/2023,9 - Month,17.58,18.08
1/23/2023,1 - Year,17.62,18.12
1/20/2023,1 - Week,15.94,16.44
1/20/2023,2 - Week,16.16,16.66
1/20/2023,1 - Month,16.55,17.05
1/20/2023,3 - Month,17.24,17.49
1/20/2023,6 - Month,17.25,17.5
1/20/2023,9 - Month,17.26,17.76
1/20/2023,1 - Year,17.3,17.8
1/19/2023,1 - Week,15.46,15.96
1/19/2023,2 - Week,15.66,16.16
1/19/2023,1 - Month,16.15,16.65
1/19/2023,3 - Month,16.95,17.2
1/19/2023,6 - Month,16.99,17.24
1/19/2023,9 - Month,16.99,17.49
1/19/2023,1 - Year,17,17.5
1/18/2023,1 - Week,15.21,15.71
1/18/2023,2 - Week,15.5,16
1/18/2023,1 - Month,15.82,16.32
1/18/2023,3 - Month,16.86,17.11
1/18/2023,6 - Month,16.91,17.16
1/18/2023,9 - Month,16.91,17.41
1/18/2023,1 - Year,16.93,17.43
1/17/2023,1 - Week,15.2,15.7
1/17/2023,2 - Week,15.45,15.95
1/17/2023,1 - Month,15.69,16.19
1/17/2023,3 - Month,16.8,17.05
1/17/2023,6 - Month,16.85,17.1
1/17/2023,9 - Month,16.87,17.37
1/17/2023,1 - Year,16.88,17.38
1/16/2023,1 - Week,15.19,15.69
1/16/2023,2 - Week,15.4,15.9
1/16/2023,1 - Month,15.68,16.18
1/16/2023,3 - Month,16.82,17.07
1/16/2023,6 - Month,16.86,17.11
1/16/2023,9 - Month,16.87,17.37
1/16/2023,1 - Year,16.88,17.38
1/13/2023,1 - Week,15.39,15.89
1/13/2023,2 - Week,15.48,15.98
1/13/2023,1 - Month,15.74,16.24
1/13/2023,3 - Month,16.85,17.1
1/13/2023,6 - Month,16.89,17.14
1/13/2023,9 - Month,16.88,17.38
1/13/2023,1 - Year,16.89,17.39
1/12/2023,1 - Week,15.61,16.11
1/12/2023,2 - Week,15.67,16.17
1/12/2023,1 - Month,15.77,16.27
1/12/2023,3 - Month,16.86,17.11
1/12/2023,6 - Month,16.88,17.13
1/12/2023,9 - Month,16.88,17.38
1/12/2023,1 - Year,16.89,17.39
1/11/2023,1 - Week,15.6,16.1
1/11/2023,2 - Week,15.66,16.16
1/11/2023,1 - Month,15.79,16.29
1/11/2023,3 - Month,16.82,17.07
1/11/2023,6 - Month,16.87,17.12
1/11/2023,9 - Month,16.87,17.37
1/11/2023,1 - Year,16.89,17.39
1/10/2023,1 - Week,15.59,16.09
1/10/2023,2 - Week,15.64,16.14
1/10/2023,1 - Month,15.78,16.28
1/10/2023,3 - Month,16.83,17.08
1/10/2023,6 - Month,16.85,17.1
1/10/2023,9 - Month,16.85,17.35
1/10/2023,1 - Year,16.87,17.37
1/9/2023,1 - Week,15.59,16.09
1/9/2023,2 - Week,15.65,16.15
1/9/2023,1 - Month,15.81,16.31
1/9/2023,3 - Month,16.83,17.08
1/9/2023,6 - Month,16.86,17.11
1/9/2023,9 - Month,16.87,17.37
1/9/2023,1 - Year,16.89,17.39
1/6/2023,1 - Week,15.66,16.16
1/6/2023,2 - Week,15.72,16.22
1/6/2023,1 - Month,15.85,16.35
1/6/2023,3 - Month,16.84,17.09
1/6/2023,6 - Month,16.85,17.1
1/6/2023,9 - Month,16.87,17.37
1/6/2023,1 - Year,16.89,17.39
1/5/2023,1 - Week,15.72,16.22
1/5/2023,2 - Week,15.77,16.27
1/5/2023,1 - Month,15.89,16.39
1/5/2023,3 - Month,16.83,17.08
1/5/2023,6 - Month,16.85,17.1
1/5/2023,9 - Month,16.85,17.35
1/5/2023,1 - Year,16.87,17.37
1/4/2023,1 - Week,15.79,16.29
1/4/2023,2 - Week,15.85,16.35
1/4/2023,1 - Month,15.96,16.46
1/4/2023,3 - Month,16.83,17.08
1/4/2023,6 - Month,16.83,17.08
1/4/2023,9 - Month,16.83,17.33
1/4/2023,1 - Year,16.85,17.35
